Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
3f4a7a1a-db80-4d73-8e6c-f85968c76e0a	48	0.811	41.772	87.025%	5.985	58.688%	0.90316	0.745
3f4c388c-8070-46cc-a9d2-eca0ebe10e60	19	0.81	17.846	93.926%	3.772	58.909%	1.03739	0.788
3f4f4236-0775-4eee-a600-0be0feaaa349	122	0.848	79.416	65.095%	10.178	53.201%	0.42844	0.719
3f53a3d5-249b-429d-998e-f390d4a6de50	20	0.683	23.035	115.175%	3.59	73.281%	1.1761	0.597
3f55fcf5-997d-4734-80fb-3091055787ef	371	0.947	147.881	39.86%	21.028	32.131%	0.18491	0.919
3f578f71-5fc3-415d-9e98-1f0e7306ec71	14	0.816	11.768	84.057%	2.623	58.652%	1.32151	0.794
3f57e910-3ead-4845-98d7-ccbe3fdc34f1	23	0.764	19.276	83.809%	3.487	64.752%	0.92806	0.698
3f5b4f9e-070e-40f9-b5a2-436628c45273	120	0.844	83.224	69.353%	11.072	54.416%	0.52162	0.747
3f60cb59-ae09-4a54-9b61-4eb08af719f8	53	0.803	43.829	82.696%	5.591	59.942%	0.69094	0.685
3f626bc9-5232-4666-a75f-cf8a5ce8b95b	15	0.793	11.95	79.667%	3.001	62.575%	1.6132	0.768
3f684097-e498-4676-a706-3992f567b675	234	0.853	137.489	58.756%	18.581	54.137%	0.3178	0.716
3f6efbb7-4192-4ded-a317-f3ad417194e1	59	0.86	43.959	74.507%	6.235	51.779%	0.71212	0.811
3f70a963-4852-4ee0-87e4-71046603b63d	23	0.882	22.615	98.326%	3.958	52.425%	0.84462	0.878
3f7298bf-04ef-4803-826b-8a45cd64a247	177	0.854	96.514	54.528%	13.292	52.748%	0.31672	0.683
3f72ea22-83c0-4bcd-ae91-6342bf177706	61	0.92	33.889	55.556%	6.335	39.986%	0.52165	0.905
3f7ab52e-06e3-440e-9b0d-8226b5ca1a1c	232	0.949	97.876	42.188%	13.421	31.757%	0.23714	0.925
3f7b6613-9c1a-4876-b269-f25c54c81eb8	1	0.942	1.042	104.2%	0.548	54.8%	0.73557	0.946
3f7c5021-49a4-4daa-a326-0b260586efb5	110	0.959	64.867	58.97%	10.876	30.328%	0.50521	0.955
3f7e6a62-368b-4354-8a5c-6cf515aef2f0	158	0.907	80.382	50.875%	10.355	42.416%	0.33486	0.829
3f858367-8bb1-41d6-b4d5-1ef4554d554e	14	0.653	20.294	144.957%	3.587	76.475%	1.57471	0.611
3f900abd-7c28-4159-a39f-cb423b98ae30	10	0.732	12.355	123.55%	3.306	82.65%	6.73379	0.717
3f91a4d5-284f-48f5-86ca-0129ec5e6e1a	94	0.861	67.685	72.005%	10.61	50.93%	0.4886	0.82
3f94f402-ee00-4c7c-bd7e-999b34cf06ce	141	0.895	104.376	74.026%	16.634	44.664%	0.54166	0.875
3f95f1b6-ebe6-40ee-bbb2-fa96078ca7b5	248	0.986	85.077	34.305%	13.877	18.036%	0.29965	0.984
3fa9075d-b80e-43cb-b8b5-82fd621c343a	16	0.688	19.246	120.288%	3.246	72.583%	1.48555	0.626
3fae11ee-fd56-4d43-86b8-1c2af3a457d0	97	0.846	65.625	67.655%	8.308	54.901%	0.4854	0.725
3fb68ca8-029f-4d74-802b-879fddbd17a3	312	0.952	109.765	35.181%	14.745	30.759%	0.13867	0.913
3fb8865a-bee1-4a81-b3b1-eca4832b82ce	32	0.794	31.431	98.222%	4.557	60.895%	0.92533	0.738
3fc27ca5-4a36-4a4f-a381-61ac9064f856	177	0.845	103.568	58.513%	13.291	54.125%	0.31769	0.635
3fc53f85-544a-43a0-98c5-e7f2e7a9f539	74	0.748	62.529	84.499%	9.154	68.612%	0.72731	0.615
3fcb884d-1e78-4d6e-b553-7ba5fd029433	187	0.946	84.576	45.228%	11.054	33.045%	0.27766	0.92
3fce5f60-2af0-4b06-bc86-800f42d8e33e	272	0.926	110.67	40.688%	15.219	37.765%	0.1893	0.854
3fd2fb26-c25c-4d3f-b644-2c503223176b	72	0.875	52.087	72.343%	6.9	49.286%	0.54275	0.826
3fd5afe7-9e69-4ea8-ab01-80e41783d795	63	0.933	36.716	58.279%	6.41	37.07%	0.58905	0.923
3fd95a10-a4b9-49cb-a9b2-791357a9ca57	47	0.912	35.319	75.147%	5.633	40.974%	0.67818	0.899
3fdaa228-78dc-419f-8814-7e236cd5803b	43	0.604	47.095	109.523%	5.901	81.056%	1.01713	0.252
3fdf5529-7b9a-4e7e-a122-72a745cb4893	94	0.938	59.93	63.755%	8.806	35.538%	0.55331	0.927
3fe469f9-170e-4934-8014-74053411c43b	55	0.733	55.988	101.796%	8.192	68.031%	0.87627	0.64
3feb07c6-8659-4cf8-b63c-66d79295785e	40	0.913	27.323	68.308%	4.974	44.312%	0.94934	0.902
3feca4d2-01d3-449e-8610-ef1861d94a57	196	0.973	82.216	41.947%	13.669	23.456%	0.32931	0.969
3ff1ea88-b8c3-4d31-8283-cb3d8bdabb68	393	0.967	145.862	37.115%	23.285	26.14%	0.16674	0.958
3ff5e4ac-1d30-42db-a491-21e64a6c64ab	61	0.788	44.962	73.708%	5.94	61.595%	0.55655	0.591
3ff7e315-9267-4046-8e00-cf80695f2dcc	76	0.795	60.687	79.851%	7.514	61.352%	0.58634	0.632
3ff8d114-2765-4025-921a-4ecb23abfcd2	26	0.832	24.042	92.469%	4.304	55.564%	0.97975	0.807
3ff9630b-88b2-411b-88af-75b19522110f	6	0.575	7.645	127.417%	2.009	82.017%	2.17736	0.535
3ff9bb81-80c1-463e-97af-c61bce379b5d	23	0.74	25.586	111.243%	4.125	67.815%	1.16677	0.687
4000d8fa-3f11-4a3e-9eff-8a020db39ecf	16	0.757	17.132	107.075%	3.462	65.426%	1.35854	0.727
4002f487-d8bc-4bef-98d2-4c04f58d424b	13	0.812	12.976	99.815%	2.675	58.373%	1.44179	0.793
400d8879-e564-4f01-8a89-10a837f2b36d	24	0.804	25.773	107.387%	4.539	59.6%	1.18043	0.778
400ea322-72ca-41a6-bc77-8b8d9c5ece06	408	0.984	119.152	29.204%	24.811	17.609%	0.17597	0.983
4012bb62-e01e-40e2-8ad6-67fee07a186b	22	0.712	25.127	114.214%	4.965	73.205%	1.59479	0.674
401b2d00-7678-4c47-9468-73debf61a5f2	111	0.819	77.363	69.696%	10.838	62.263%	0.46772	0.699
401b6c74-59d1-453a-8a7b-0bb06b845fb3	241	0.939	101.509	42.12%	13.904	35.419%	0.2727	0.902
4022f966-e073-41fe-ba2f-8ee707fdcb61	1616	0.962	634.72	39.277%	131.793	27.46%	0.14857	0.956
4024629d-32d1-411f-af0b-32389288eb29	24	0.834	26.308	109.617%	4.001	55.484%	1.29165	0.811
40290f45-7b9f-49f8-bfd8-df829f871503	1031	0.972	278.933	27.055%	38.527	23.874%	0.08008	0.951
402b8672-9f30-4de3-ac56-1a2f2607abd3	55	0.893	39.085	71.064%	5.995	48.467%	0.77178	0.869
402dc6cd-80c9-40fe-a25d-8480c3505583	83	0.837	64.414	77.607%	7.842	57.346%	0.60091	0.738
4031e8cf-2a52-4345-9be6-165e0202c200	32	0.872	25.105	78.453%	3.794	49.818%	0.89287	0.842
4033355c-2b80-4ae6-9c55-9e1269842346	21	0.634	28.414	135.305%	4.307	77.356%	1.40537	0.547
403a2f90-e85a-4736-b291-6b8f1e1a09ad	172	0.91	98.177	57.08%	13.058	46.052%	0.39942	0.866
4043db72-f008-44d3-b59d-660a2272e4b8	65	0.777	53.262	81.942%	7.605	63.596%	0.69897	0.661
4047c459-f5f8-49b6-bb58-0415b637b667	17	0.927	12.329	72.524%	2.889	42.14%	0.5683	0.924
404aded8-0e7c-4f67-8c97-9a79d6333c4c	126	0.907	73.461	58.302%	10.126	43.177%	0.41319	0.867
404aee7e-555e-43e9-b735-5e9310ba5a58	14	0.701	15.664	111.886%	3.503	74.684%	2.29874	0.668
404b985e-94c5-4056-a826-5cea9f1e5929	115	0.918	72.359	62.921%	9.391	40.007%	0.4483	0.891
404bbb87-90c6-4b90-a7a6-d8d79e44eb7b	11	0.571	15.568	141.527%	2.729	82.282%	1.62576	0.492
404bec6f-c00b-4cf0-9881-1786a43909a1	115	0.915	82.606	71.831%	13.267	44.004%	0.59717	0.902
404ccaee-7f9c-45c0-822a-5e2791e706d2	39	0.888	33.159	85.023%	5.441	46.829%	0.81682	0.872
404f601a-b4d6-4ab9-89ea-cae8ff35e861	22	0.577	26.611	120.959%	4.306	84.448%	1.593	0.445
4054affb-a801-4025-89f2-dd56b8018884	139	0.925	70.813	50.945%	9.164	38.69%	0.31111	0.883
40552cfd-a263-45f2-ab85-375b8b748fca	1	0.891	1.257	125.7%	0.656	65.6%	0.99024	0.898
40566005-0561-4a0a-92db-1007201a5492	22	0.68	25.446	115.664%	3.956	74.761%	1.31343	0.595
405d7351-2be1-4d90-9277-2b0a14088bab	1	0.481	1.757	175.7%	0.906	90.6%	2.10733	0.483
4060f76b-8859-4c99-9dc4-72f18ecae87f	121	0.895	79.869	66.007%	10.843	45.14%	0.46057	0.856
40613e80-a5a2-4cd3-b366-b06668d8fd7f	51	0.881	45.371	88.963%	7.296	47.393%	0.80521	0.865
406b89e1-a37a-4a19-88e4-0b39e82b0b8e	144	0.866	78.597	54.581%	10.018	49.965%	0.29012	0.68
406cb8c8-0761-42cf-b97e-2d8eea2afc55	62	0.653	61.02	98.419%	7.769	76.925%	0.80261	0.33
406e43ec-439c-4ce3-a98e-92c4f7eaaa75	2	0.542	2.515	125.75%	1.206	85.277%	3.527	0.529
406f7574-1970-4e2d-a891-8824a34610f0	23	0.744	25.531	111.004%	3.978	67.24%	1.3265	0.688
406fba9a-c0f2-49ff-b195-baf033edec2f	396	0.958	161.953	40.897%	25.907	30.673%	0.27715	0.947
4070c10a-11fe-4d2c-9999-ae89bfe0e364	304	0.965	117.015	38.492%	20.786	26.952%	0.19868	0.958
407167a9-0f9f-452d-8eae-fafd81d4d75c	6	0.56	7.616	126.933%	2.056	83.936%	2.52533	0.52
4075f840-e295-42a9-895a-62f837d6e0cc	45	0.762	45.362	100.804%	6.208	65.078%	0.88823	0.675
407b4054-e7d5-46b5-974a-cb82c2517c89	1059	0.98	351.541	33.196%	61.67	20.16%	0.162	0.977
40808cde-b0be-48e4-9c03-753d40dc6b71	128	0.83	83.88	65.531%	10.962	56.086%	0.41223	0.668
40861f8f-3cfe-4870-886f-35b138aad8f9	177	0.832	107.99	61.011%	14.038	55.708%	0.33252	0.612
4088d0b5-a916-4956-b68e-2d1c8572c95b	126	0.844	91.677	72.76%	12.144	54.749%	0.5036	0.759
4097cb40-9b57-40ca-b4f7-9665d3f42eb0	96	0.913	57.122	59.502%	8.187	41.888%	0.49192	0.883
40980ee1-de5c-4394-ad0c-bce98be87780	530	0.986	137.666	25.975%	29.878	16.462%	0.12135	0.985
40999633-7157-4a4e-b294-e49240a3cf44	212	0.909	94.833	44.733%	12.543	42.139%	0.23239	0.803
409cfb0e-b6c9-4d27-b58a-37e70d908421	21	0.825	22.201	105.719%	3.36	56.794%	1.08968	0.795
40a49010-e0ac-4701-8edb-34da2cbe371d	93	0.813	65.92	70.882%	8.421	58.249%	0.47382	0.639
40a57505-fc7b-4569-9f8b-7f2ea3b905e9	1	0.925	1.335	133.5%	0.681	68.1%	1.1015	0.939
40abed03-bc90-44a4-aa69-4a9d77a69d67	14	0.683	19.115	136.536%	3.586	73.199%	1.80685	0.646
40ad041e-3ade-4a89-a190-2da5e1c53bc1	259	0.97	103.567	39.987%	16.537	24.444%	0.23963	0.964
40b1654c-2554-4aef-bf84-656e7ad7e7b3	218	0.967	91.377	41.916%	17.795	25.406%	0.28144	0.963
40bb70b0-0165-4388-8fe1-52162b623fbb	28	0.735	24.442	87.293%	4.781	69.008%	1.11299	0.671
40bc9bb9-ea09-4601-be31-ac1f1e0a324b	118	0.836	74.618	63.236%	9.708	55.679%	0.41981	0.667
40c6bba8-f387-4d0c-8bab-a718de8b2780	72	0.674	72.801	101.113%	9.908	73.85%	0.84615	0.47
40d12d0e-6347-4554-8f4f-795686c3d0b0	66	0.788	54.924	83.218%	6.864	61.641%	0.65637	0.637
40d16448-5086-4214-b940-1a333cd44422	68	0.942	41.106	60.45%	5.894	34.258%	0.40649	0.932
40d287f2-605f-45b5-b61e-6af0c697a9e4	21	0.536	29.404	140.019%	4.365	87.3%	1.62668	0.394
40d5190b-b6ed-4616-9981-a3b7eb2d7c2b	330	0.918	139.567	42.293%	18.464	39.82%	0.17029	0.819
40d541cf-3179-4e9e-9e07-cffd3ce622a7	149	0.906	82.686	55.494%	10.992	42.371%	0.35993	0.853
40d82bec-b01b-4b30-90f9-f18d85dccd5f	80	0.821	59.54	74.425%	7.675	57.852%	0.57057	0.697
40db8684-c72f-4394-bfc9-87384895ab32	34	0.785	33.47	98.441%	4.893	63.168%	0.97822	0.725
40ddfc49-7440-497f-ad8e-01a1908db31b	21	0.522	28.567	136.033%	4.295	85.9%	1.63339	0.345
40df9c92-0b06-4ec0-b51b-fff27c684fb3	427	0.967	157.949	36.99%	36.882	25.53%	0.24737	0.964
40e250c7-377e-44f7-beb3-5710b87f110c	14	0.775	14.877	106.264%	2.725	64.229%	1.1793	0.745
40e72a50-e532-4ef9-b2e7-aec92926be2a	176	0.937	89.38	50.784%	14.528	35.445%	0.36343	0.921
40e7ed37-04ff-4e90-890c-0fda30381a19	95	0.893	66.708	70.219%	9.066	45.849%	0.55687	0.858
40e9d5f1-355d-4b88-aecc-f76391942fb2	50	0.718	49.625	99.25%	6.891	71.075%	0.94159	0.589
40f0f470-7a00-4945-b64e-63c432bf64dc	220	0.87	110.847	50.385%	14.581	49.491%	0.26553	0.658
40f9015a-0c2a-4ba0-ab8f-4d994cb1f8fc	1879	0.994	383.955	20.434%	75.804	12.492%	0.10009	0.994
40fd346d-d2a1-42a7-b8aa-e7c27c572fec	235	0.919	100.884	42.929%	15.003	40.198%	0.20393	0.861
40fdc33c-dec9-4070-a240-386cbd473f20	13	0.732	13.612	104.708%	2.649	68.397%	1.03361	0.689
40ffd91d-fa2b-4cec-b1d0-05ef6681d63f	18	0.799	15.526	86.256%	3.325	60.706%	1.02989	0.77
41002e4d-708d-4dd3-9f2d-315199068b3a	1547	0.962	717.381	46.372%	138.072	27.678%	0.24583	0.958
41050a55-90d4-404a-981e-8ce358f0d8bc	10	0.318	16.692	166.92%	3.354	96.822%	2.5533	0.19
41077151-cedf-499c-957b-54c5b2c53694	27	0.754	27.915	103.389%	4.115	65.893%	1.09929	0.682
4108be9d-27bc-4a90-b608-af76b36546b6	312	0.916	146.282	46.885%	19.299	40.137%	0.22971	0.845
41098dd4-57ee-4d77-8f59-7159bdfdffed	156	0.955	78.541	50.347%	14.22	31.608%	0.38696	0.949
410e30ea-cf1c-486d-ae23-49ec039bce5f	5	0.423	8.599	171.98%	2.036	91.053%	2.41506	0.377
4116ff62-829f-41e1-9676-02f104bb2e4e	20	0.741	23.802	119.01%	4.362	67.307%	1.35712	0.707
4118e184-57d5-4da6-bad1-a66b937fea40	547	0.971	214.806	39.27%	36.768	24.8%	0.20746	0.967
411a606d-f354-4561-b42c-eb1bc155c87d	31155	0.977	8196.141	26.308%	1519.983	21.307%	0.07442	0.972
4121e79a-c690-4f10-8ba4-fb28c075ca22	3	0.661	4.704	156.8%	1.423	82.157%	1.69184	0.683
41235d3b-8a78-4cf2-a1c3-5dbc86646704	78	0.949	45.311	58.091%	6.944	31.761%	0.41514	0.941
412e1877-ba96-44b2-8fd7-27b920a30aaf	66	0.685	69.126	104.736%	8.942	73.503%	0.86566	0.497
412e2950-55fc-40be-8cac-648752262fdf	29	0.706	33.621	115.934%	5.365	71.061%	1.18059	0.64
4130c240-b8ba-4683-af30-de308155dac2	28	0.688	30.1	107.5%	4.883	73.614%	1.23649	0.601
41381804-ea35-4249-8cfc-ba52de476a67	12	0.738	16.084	134.033%	3.903	71.259%	1.36192	0.73
4139178f-7dc7-406e-9ae7-c902e8aa3ace	22	0.735	21.344	97.018%	3.672	69.394%	1.54941	0.668
4147c29b-0fad-4997-8fce-2f17f8432390	37	0.693	38.979	105.349%	5.644	73.479%	1.04691	0.573
41482be1-6cc7-4aa6-9ea3-f6f77b5d011f	111	0.887	66.87	60.243%	8.993	46.816%	0.43216	0.825
41483274-8373-48c5-82c9-f2a6413dba23	376	0.938	172.386	45.847%	30.35	35.62%	0.27946	0.923
414def5a-eab1-47d3-8520-73f830356a24	156	0.866	85.697	54.934%	12.151	50.025%	0.28838	0.751
414e8c7b-dcb1-400b-a38a-2935cba8ffe5	44	0.754	37.735	85.761%	5.447	67.048%	0.94438	0.629
4152e8ad-21fa-4d37-9ddf-1e7dc7cd0745	501	0.946	164.688	32.872%	25.875	32.581%	0.11863	0.908
4155b01c-fb2d-4deb-9420-8763bea15df6	42	0.792	44.599	106.188%	6.306	61.249%	0.88396	0.741
415ef20d-81d7-48d2-ae61-2c3b3e1b8084	268	0.933	158.508	59.145%	26.714	38.257%	0.37062	0.922
4168cb61-10b1-4717-95f2-8102844fc688	31	0.831	27.21	87.774%	4.377	56.984%	1.01305	0.795
416c513a-2d37-48dd-b195-bde6d0bc27ee	49	0.69	49.327	100.667%	6.691	72.574%	0.89784	0.511
417424aa-b491-4fa6-a742-97ed3c353f52	13	0.657	15.292	117.631%	3.111	75.453%	1.27288	0.605
4178d9c3-7918-4cb7-b856-bbf1dea88311	132	0.956	74.256	56.255%	12.521	30.862%	0.38346	0.951
417b5672-23b9-404c-b939-6c11b863815d	1	0.758	1.486	148.6%	0.775	77.5%	1.35851	0.767
417ee14f-26c8-46a4-8f46-adbe810dc831	17	0.853	13.89	81.706%	3.117	52.687%	1.17005	0.838
41809ba3-6304-4b06-8dcf-eef1ba1c83d4	14	0.846	13.018	92.986%	3.146	53.953%	1.2271	0.836
41822f24-96d9-47c4-b134-1cbe480a305d	8	0.592	9.977	124.712%	2.32	82.024%	2.10871	0.544
4185adf7-ea56-49bb-b766-99d0b7128a9f	29	0.879	22.556	77.779%	4.277	48.12%	0.86922	0.864
4185d52b-e49c-4394-9aed-1cd5c03f05d3	3	0.984	1.541	51.367%	0.502	28.983%	0.30188	0.985
4187226b-054a-4569-85df-2efa3dcb9812	8	0.58	12.081	151.012%	2.591	81.935%	1.98401	0.541
41889d7c-e383-4c31-a75f-717e067837cb	155	0.876	87.93	56.729%	11.707	48.653%	0.36317	0.774
418ab370-151c-4882-9748-3e8759e018c0	132	0.895	65.925	49.943%	9.379	44.611%	0.30856	0.814
418ee41f-7127-47ec-9a43-1df5bae10e8d	16	0.377	25.733	160.831%	4.487	100.332%	2.37779	0.247
4195456a-c150-4f62-8ca3-211ca475ef7f	17	0.926	11.246	66.153%	2.497	38.079%	0.82636	0.92
41958495-ab36-45e5-8741-358e7329e2e2	202	0.821	125.171	61.966%	16.328	57.371%	0.36142	0.576
41975865-b720-4308-aaec-7ef476be4fc8	36	0.807	34.232	95.089%	4.672	59.334%	0.87006	0.746
41a1d10c-fb0f-46c6-a022-1103dbcc73fc	24	0.879	23.139	96.412%	4.237	48.602%	1.11077	0.868
41a22774-f2ce-4194-8b74-0a51d3364d9a	49	0.774	43.653	89.088%	6.387	65.529%	0.79131	0.688
41a24d3a-c9fd-4c86-9d4a-0f08f10b4c34	175	0.933	107.002	61.144%	16.434	36.702%	0.43411	0.921
41ab3698-7b13-4ac0-be5f-e0a40b9980ec	15	0.89	10.426	69.507%	3.084	45.974%	1.26068	0.884
41b274de-9b58-442b-831f-9a3ae2274ff8	872	0.987	196.149	22.494%	47.249	16.332%	0.08666	0.985
41b29236-51f0-4ace-986d-011ac3661649	17	0.852	15.57	91.588%	3.024	54.313%	1.13192	0.836
41b6f7da-dbd1-44a8-8f66-c97e8a7ec56c	43	0.74	38.202	88.842%	5.638	67.874%	0.78447	0.616
41c1fc0b-5367-4380-ad39-352fb51bbd85	43	0.672	44.994	104.637%	6.83	74.082%	1.06105	0.54
41c73313-f4ae-4a83-83f8-977d57804506	912	0.986	231.419	25.375%	38.452	17.361%	0.10092	0.983
41c82e6c-6af4-4695-87f6-34717ea432b6	109	0.874	71.718	65.796%	10.099	49.936%	0.48337	0.818
41c8e7a4-809e-4b3a-b996-ec024a919ae4	97	0.935	67.244	69.324%	9.387	35.866%	0.623	0.924
41ca1e91-fb5f-4118-9a5e-d8572effba24	39	0.808	37.929	97.254%	5.312	59.022%	0.91603	0.755
41ca9c0d-7a28-4ee3-a4dd-49d65758f22c	85	0.823	63.242	74.402%	9.275	57.632%	0.57093	0.743
41cf8823-6b8e-4768-9a1f-eba6ea491969	45	0.748	45.761	101.691%	5.765	66.568%	0.90706	0.623
41d594d4-7cfb-4664-a288-7ca88621e6e1	15	0.907	12.816	85.44%	2.691	44.24%	0.89846	0.902
41d5d0c4-2643-4306-b282-f4129ea7310b	1858	0.977	629.189	33.864%	124.609	21.543%	0.15154	0.974
41db6e94-0ecf-4a1a-9443-e571f7dfae0a	1222	0.974	429.095	35.114%	75.042	23.972%	0.17615	0.969
41e03685-26aa-460b-81f4-8895389c61a7	1	0.523	1.586	158.6%	0.862	86.2%	1.57452	0.517
41e3d34e-801c-48be-962b-f6dbc834d755	37	0.862	34.025	91.959%	5.948	51.576%	0.78539	0.845
41e3dd11-65a1-4c39-8731-a71078b8a57d	13	0.621	17.233	132.562%	3.037	78.415%	1.56029	0.551
41e4cd6e-eec4-4db0-81df-4df0567a03d3	230	0.924	94.21	40.961%	12.365	38.159%	0.20263	0.834
41e5b133-32be-4d76-a2bc-65db583c48b6	23	0.768	24.373	105.97%	3.787	64.012%	0.9322	0.717
41ee2fb1-1616-4d88-a32c-cfe48d4e4171	28	0.78	27.781	99.218%	4.853	62.652%	1.1611	0.739
41ef6378-0647-4574-a255-600e7355e402	47	0.943	31.554	67.136%	4.763	33.266%	0.63757	0.936
41f13891-6f87-4e9d-b7de-7f343449006a	34	0.85	27.05	79.559%	4.481	53.558%	1.04323	0.818
41fb5184-4566-4572-9eae-ca8210413e09	47	0.806	49.164	104.604%	6.928	60.073%	0.97561	0.761
41ff1752-42f1-4e99-a05a-cce0982c722f	65	0.773	54.925	84.5%	6.986	63.509%	0.70519	0.606
42050ada-5933-4373-a2e9-1c37384dd822	2	0.765	2.518	125.9%	1.405	70.25%	0.99257	0.765
4205544e-6ea2-48fc-99cd-6ec657698bc3	63	0.74	59.917	95.106%	7.683	68.176%	0.85459	0.586
4205829c-8dd9-46ab-b5c2-cf536f600e77	14	0.855	11.881	84.864%	2.467	52.597%	0.96197	0.839
420ac47a-09c4-4448-8f19-5d9eaa25a0f3	2120	0.992	392.894	18.533%	91.181	12.483%	0.08028	0.991
420dbebe-bb0a-4656-9c5f-ec5db82fd61b	14	0.714	13.412	95.8%	2.919	72.975%	1.48061	0.669
420f7315-4ca3-432c-a958-9ccc88e7e2d5	62	0.801	65.811	106.147%	11.22	61.029%	0.88333	0.774
4212a297-9bc7-4e88-8d23-88823ab9940d	193	0.979	68.498	35.491%	15.071	24.581%	0.26325	0.977
4212c22c-36fd-49d7-879f-24222fad824e	61	0.922	40.926	67.092%	6.157	39.661%	0.63224	0.907
42148045-2046-4408-8b95-32d1fe28a0a6	13	0.75	12.607	96.977%	2.561	66.125%	1.27905	0.71
42158193-ca69-48ba-9b7c-bfd7763a144c	2708	0.986	641.515	23.69%	110.583	17.208%	0.08674	0.982
42160459-9e4d-4013-8b02-8da24a76f243	335	0.953	141.712	42.302%	20.489	31.672%	0.20744	0.936
42193746-f1b4-4e41-b28d-0fb71ad804f3	9	0.909	8.871	98.567%	2.753	52.982%	0.99586	0.912
42198361-a752-4533-b71e-7a29e533c07d	24	0.868	18.389	76.621%	3.84	50.422%	0.95562	0.852
4219fd25-16fd-46c2-8528-7518203a752e	8	0.613	9.329	116.613%	2.246	79.408%	2.36769	0.567
421a4d00-fccb-456f-b161-6d51de4c977d	86	0.821	70.882	82.421%	9.665	58.603%	0.66863	0.747
421ae69a-e059-4fe1-b81f-ac117ddbb50f	21	0.695	23.895	113.786%	4.259	71.99%	1.28323	0.637
421c309b-8906-4896-9d3c-6fc4aca2cdb6	72	0.844	58.605	81.396%	8.775	55.498%	0.70402	0.801
42240ff8-ac09-4fe4-9c49-1904d27bad8c	217	0.895	106.554	49.103%	14.755	45.086%	0.28942	0.801
4234f264-9347-4325-8c9d-945ddb8f57bf	57	0.867	41.465	72.746%	5.742	50.555%	0.64336	0.816
42361491-693d-4547-8bf3-e47ab4dc5935	23	0.81	21.77	94.652%	4.507	58.676%	1.16434	0.788
4236883f-0c7e-442e-822e-86fc41b8dbe3	931	0.948	333.822	35.856%	51.052	31.794%	0.14621	0.919
423b5895-61c2-405c-aa4b-7d307c60abbc	22	0.64	26.784	121.745%	4.534	77.757%	1.41962	0.56
423e3eae-2a7a-4d83-a46c-3fe800d5842c	134	0.849	88.397	65.968%	12.425	55.678%	0.51814	0.763
42420aec-601e-464c-9450-dca9aa4ebde8	50	0.73	51.008	102.016%	7.696	69.112%	0.94919	0.645
424cb973-3c8d-4a25-aafb-b75ccfbf2308	44	0.81	38.991	88.616%	5.748	58.665%	0.82136	0.752
4254d5f0-1a6e-4752-baab-4ee67ef1d09d	189	0.972	77.771	41.149%	11.659	23.725%	0.26441	0.967
425bab6c-d0f6-4d3e-b4b6-1f0678de4408	2	0.868	2.683	134.15%	0.985	69.65%	1.12004	0.889
425ce523-3f94-4402-a412-91816155a9b7	19	0.627	23.265	122.447%	3.628	79.169%	1.42378	0.521
426487cf-8c8d-4a48-97bf-3907b026a3ed	130	0.953	67.187	51.682%	9.838	30.448%	0.36287	0.943
426b5487-7937-4915-8974-e6e5b11f549d	23	0.711	25.718	111.817%	3.877	71.994%	1.25973	0.631
426d3899-7909-4b69-83f4-c76bf5faf575	609	0.956	198.254	32.554%	26.149	29.212%	0.10551	0.914
4271791f-ab84-4e76-a82e-a862c28d9652	4966	0.99	1246.414	25.099%	267.975	14.881%	0.10982	0.989
427e1a70-219c-4266-b7d4-d00c72617f68	309	0.946	121.549	39.336%	16.6	32.277%	0.15301	0.913
42806496-4cbd-44b8-9ac0-99264118cb4f	50	0.834	42.437	84.874%	5.946	55.689%	0.72846	0.78
42853513-5439-41b4-85da-a93de941f706	16	0.586	18.93	118.312%	3.273	81.825%	1.60307	0.468
42865097-4fff-45ad-9f78-214fbdb14504	10	0.668	13.561	135.61%	2.813	75.181%	1.83062	0.636
4289b5a3-0838-49be-a550-08d8e503887f	114	0.792	85.571	75.062%	11.662	61.125%	0.53836	0.641
428d11c0-e278-4536-bfa2-ee7520d03202	43	0.922	25.983	60.426%	5.266	38.716%	0.51436	0.913
428de594-0eed-4d5e-84b9-8b04ea2a3e0e	169	0.88	92.03	54.456%	11.993	47.444%	0.30365	0.761
42976f01-b92f-4136-b17f-17ab049bebab	141	0.882	75.371	53.455%	9.99	47.68%	0.3425	0.769
4299587a-c58f-4226-9f4a-cb2d9492c936	2	0.527	3.143	157.15%	1.214	85.843%	1.67583	0.514
429ca143-b732-4c21-b0fa-5ddd63e9fbd1	54	0.82	44.005	81.491%	5.743	57.43%	0.6243	0.728
42a1368a-2e87-40c6-889a-7b4783e5aa7d	74	0.814	57.808	78.119%	7.312	58.171%	0.5843	0.688
42a3f04a-54a8-4e5c-9aea-48d5dbcd750c	20	0.852	18.434	92.17%	3.552	56.162%	1.29537	0.836
42a40473-9f30-4650-a083-78041da5cfdd	41	0.935	23.062	56.249%	4.161	35.55%	0.54881	0.925
42a46e5a-09e0-48ae-85e4-8dcc09785753	36	0.764	40.864	113.511%	5.473	65.415%	0.94781	0.705
42a5bd32-ba8b-49eb-b639-13e95415d3e9	46	0.833	34.936	75.948%	5.65	55.403%	0.67719	0.783
