Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
02ffb7c5-f410-4855-84d0-0fa78edb51bb	20	0.505	28.353	141.765%	4.252	86.794%	1.54253	0.329
0307b7a0-17d1-4a14-aad2-1775f07462a7	8	0.552	10.144	126.8%	2.393	84.605%	2.10321	0.496
030d6dc3-0552-4b75-af3f-455dc8e4de2a	8	0.407	13.06	163.25%	2.912	92.086%	2.37835	0.332
0310d221-9df7-4457-8ac4-88ec25b7bacb	167	0.986	53.374	31.96%	10.591	20.703%	0.22614	0.986
031544ab-2ba8-4a4e-b828-e090e981db54	78	0.95	40.447	51.855%	6.84	31.754%	0.3906	0.942
0316990d-3d0a-4d35-85c3-48eec5d3004a	22	0.776	24.518	111.445%	4.1	63.264%	1.23099	0.741
0318d8d4-183b-47c9-bdee-aa56533db604	15	0.503	20.953	139.687%	3.78	86.719%	1.8628	0.388
031a255a-b578-4646-966a-b1eb2978eda2	8	0.805	6.838	85.475%	2.22	59.332%	1.00449	0.794
031a7fd2-0460-4034-8866-2a362a5e0610	25	0.943	13.688	54.752%	3.323	34.458%	0.49543	0.938
031cff3a-8983-49b1-9ed3-43da771e2a65	65	0.947	39.444	60.683%	7.974	34.283%	0.81351	0.943
031fc074-8a76-4090-85f4-6d5f87e98d39	12	0.749	12.486	104.05%	3.026	71.324%	1.87301	0.726
0320618d-a745-42b8-a5d2-e8e9693e3fd6	4	0.723	5.59	139.75%	1.811	73.934%	1.25365	0.721
0320794c-f008-45e1-a410-a16f4aa32afe	9	0.583	12.484	138.711%	2.443	81.433%	1.75934	0.523
03218298-441f-4118-92ad-13bf65e6b823	78	0.808	61.845	79.288%	8.115	60.152%	0.63296	0.695
032abfcd-7aa9-4424-bb4a-646ff2c8dd60	3	0.615	3.831	127.7%	1.367	78.924%	2.1537	0.598
032b683e-e417-404b-97d4-f9207aab15c0	23	0.649	27.052	117.617%	4.389	76.403%	1.30607	0.556
033498d7-d81d-4a8a-9faa-2025ad3ef4a2	13	0.603	17.976	138.277%	3.489	80.043%	1.44447	0.549
03355598-7772-4281-9bb4-eb88f208bb2e	10	0.718	11.04	110.4%	2.43	70.148%	0.93047	0.686
0335db34-bd5e-4aa1-9f33-d2ef464e1900	784	0.969	285.388	36.402%	57.759	24.954%	0.16512	0.964
033630d5-1c99-4380-881e-b3500f0083ff	68	0.857	62.695	92.199%	9.669	51.831%	0.74489	0.833
03373729-090d-4437-9766-d3a0c6d91307	4	0.813	3.409	85.225%	1.173	58.65%	1.03388	0.804
033ca7fc-d903-4b3a-a8e6-3142836aac24	135	0.775	90.804	67.262%	13.059	63.495%	0.48625	0.535
033d495e-6db2-451d-85cc-c67c00faec79	123	0.893	71.629	58.235%	9.928	46.749%	0.40415	0.837
0340dd4d-0b30-4847-99ea-cc27bb8c649b	17	0.684	18.113	106.547%	3.992	74.13%	1.34586	0.641
0344b01e-7430-4200-81cb-d48a3a8998ac	577	0.961	197.628	34.251%	28.182	28.016%	0.14323	0.942
0344d919-456b-4707-a1c6-f29c539f7069	2	0.838	2.377	118.85%	0.92	65.054%	0.97732	0.841
034a143f-1592-40a4-b56e-f90c8021ccea	95	0.954	49.316	51.912%	8.193	30.098%	0.34722	0.947
034ae345-d86f-456c-b05e-3df8e8c617e5	21	0.788	21.621	102.957%	3.81	62.636%	1.27571	0.755
034d9637-0f56-452d-a8cb-25311195b609	94	0.744	76.007	80.859%	10.005	67.454%	0.59547	0.502
03503887-aef2-46e4-abf8-409dbef59bbf	24	0.721	26.02	108.417%	4.948	69.975%	1.19382	0.677
035231ec-5900-4d97-a10f-e39bd2c932fc	602	0.964	198.407	32.958%	26.998	27.2%	0.13047	0.943
03539586-f80a-4d27-8b85-720a3353f8d4	52	0.815	43.807	84.244%	5.975	58.59%	0.82629	0.739
0353beb4-ed42-4a99-ac1d-edfec6b8a4ea	95	0.837	70.484	74.194%	9.636	55.914%	0.63685	0.756
0354b1ea-ae4e-474f-a7a2-02affa1096e3	79	0.746	67.717	85.718%	9.064	68.912%	0.68594	0.574
